# Time-averaged data for fix msd_output
# TimeStep c_msd_compute[4]
50000 6.40632e-28
50100 0.172364
50200 0.510019
50300 0.969594
50400 1.56664
50500 2.38468
50600 4.10297
50700 7.10428
50800 10.7365
50900 15.354
51000 21.4604
51100 28.9552
51200 37.5364
51300 47.5925
51400 60.1173
51500 73.5834
51600 83.7927
51700 91.1968
51800 98.1325
51900 103.413
52000 104.711
52100 101.806
52200 97.9637
52300 92.9004
52400 83.8394
52500 72.9996
52600 66.539
52700 70.492
52800 91.2173
52900 133.692
53000 192.22
53100 256.028
53200 318.686
53300 375.28
53400 422.963
53500 460.966
53600 487.226
53700 497.741
53800 493.253
53900 482.344
54000 469.072
54100 446.03
54200 414.968
54300 384.985
54400 360.336
54500 338.321
54600 314.408
54700 294.977
54800 286.145
54900 284.149
55000 285.292
55100 290.171
55200 301.675
55300 318.516
55400 335.793
55500 354.444
55600 378.007
55700 407.752
55800 440.302
55900 470.212
56000 502.357
56100 542.925
56200 590.39
56300 639.869
56400 693.856
56500 760.726
56600 836.557
56700 915.716
56800 996.345
56900 1078.67
57000 1163.69
57100 1244.48
57200 1308.32
57300 1357.53
57400 1404.59
57500 1445.45
57600 1468.44
57700 1471.38
57800 1456.23
57900 1422.1
58000 1358.23
58100 1254.52
58200 1132.53
58300 1024.7
58400 940.796
58500 879.562
58600 840.573
58700 822.097
58800 821.788
58900 836.669
59000 864.036
59100 902.485
59200 957.955
59300 1034.58
59400 1123.51
59500 1220.23
59600 1328.26
59700 1448.89
59800 1578.38
59900 1706.43
60000 1823.18
60100 1938.03
60200 2060.25
60300 2178.56
60400 2279.51
60500 2377.87
60600 2490.62
60700 2597.94
60800 2685.7
60900 2762.4
61000 2846.89
61100 2929.17
61200 2981.33
61300 3014.84
61400 3046.33
61500 3070.29
61600 3070.56
61700 3051.18
61800 3044.44
61900 3048.03
62000 3039.99
62100 3020.47
62200 3006.93
62300 3009.71
62400 3006.85
62500 2989.67
62600 2978.14
62700 2983.06
62800 2992.19
62900 2996.05
63000 3000.16
63100 3011.26
63200 3034.02
63300 3066.62
63400 3101.61
63500 3144.32
63600 3221.43
63700 3340.03
63800 3483.82
63900 3650.27
64000 3846.67
64100 4076.51
64200 4329.54
64300 4577.01
64400 4808.19
64500 5044.98
64600 5283.43
64700 5493.4
64800 5657.92
64900 5810.27
65000 5958.25
65100 6064.34
65200 6115.98
65300 6132.72
65400 6129.79
65500 6074.1
65600 5949.7
65700 5800.28
65800 5653.33
65900 5499.53
66000 5340.93
66100 5194.34
66200 5074.51
66300 4984.56
66400 4915.48
66500 4850.86
66600 4806.59
66700 4815.04
66800 4868.98
66900 4946.8
67000 5048.71
67100 5208.68
67200 5439.72
67300 5708.49
67400 5986.23
67500 6260.55
67600 6544.35
67700 6837.2
67800 7090.34
67900 7279.46
68000 7433.87
68100 7574.29
68200 7704.4
68300 7808.91
68400 7868.18
68500 7912.32
68600 7982.17
68700 8056.33
68800 8108.11
68900 8142.87
69000 8174.57
69100 8206.81
69200 8236.58
69300 8261.93
69400 8286.09
69500 8318.25
69600 8360.7
69700 8401.52
69800 8434.61
69900 8483.63
70000 8574.56
70100 8672.85
70200 8747.83
70300 8822
70400 8917
70500 9029.37
70600 9146.11
70700 9264.79
70800 9413.32
70900 9619.35
71000 9867.04
71100 10133.5
71200 10449.1
71300 10840.9
71400 11275.1
71500 11714.2
71600 12135.7
71700 12560.9
71800 13017.1
71900 13418.4
72000 13703.2
72100 13893.6
72200 14016.5
72300 14031.5
72400 13878.3
72500 13592.3
72600 13231.9
72700 12835.9
72800 12420
72900 11999.1
73000 11635.4
73100 11401.5
73200 11265.2
73300 11180.2
73400 11145.5
73500 11175.1
73600 11268.8
73700 11389.4
73800 11513.7
73900 11673.3
74000 11893.4
74100 12149
74200 12422.5
74300 12709.7
74400 13014.8
74500 13341.6
74600 13685.2
74700 14017.4
74800 14316.8
74900 14609.5
75000 14926.4
75100 15213.3
75200 15409.2
75300 15543.4
75400 15652
75500 15740
75600 15773.9
75700 15704
75800 15574.2
75900 15455.8
76000 15331.3
76100 15164.9
76200 14972.7
76300 14841.3
76400 14797.6
76500 14776.1
76600 14754.8
76700 14739.9
76800 14757.6
76900 14820.2
77000 14890.6
77100 14953.7
77200 15082
77300 15328.2
77400 15661.7
77500 16061.3
77600 16546.6
77700 17189.4
77800 17977.2
77900 18775.2
78000 19532.3
78100 20254.6
78200 20919
78300 21436.7
78400 21750.8
78500 21952.6
78600 22080.3
78700 22086.6
78800 21954.3
78900 21762.5
79000 21589.1
79100 21377.4
79200 21104.6
79300 20802.6
79400 20504.7
79500 20205.3
79600 19881.4
79700 19589.4
79800 19422.4
79900 19360.7
80000 19351.2
80100 19383.4
80200 19469.9
80300 19625.9
80400 19831.3
80500 20029.9
80600 20234.5
80700 20517.4
80800 20862.8
80900 21215.3
81000 21554.6
81100 21889.7
81200 22238.2
81300 22602.9
81400 22929.4
81500 23175.3
81600 23398.3
81700 23654.2
81800 23896.4
81900 24088.5
82000 24245
82100 24391.4
82200 24530.1
82300 24613.6
82400 24636.1
82500 24694.3
82600 24807.8
82700 24917.4
82800 24999.9
82900 25075.8
83000 25163.2
83100 25249.2
83200 25271.6
83300 25242.3
83400 25260.9
83500 25337
83600 25411.4
83700 25469.3
83800 25612.1
83900 25908.7
84000 26261.4
84100 26598.2
84200 26927
84300 27314.2
84400 27760.1
84500 28136.5
84600 28425.3
84700 28698.6
84800 28985.8
84900 29248.2
85000 29388.5
85100 29360.7
85200 29254.9
85300 29077.1
85400 28750.8
85500 28253.6
85600 27713.7
85700 27263.4
85800 26864.4
85900 26499.6
86000 26208.6
86100 26003.1
86200 25916.6
86300 25936.7
86400 26018.4
86500 26202
86600 26580.9
86700 27146.7
86800 27859.4
86900 28711.7
87000 29736.6
87100 31001.8
87200 32406.1
87300 33688.7
87400 34762.5
87500 35666
87600 36394.4
87700 36864
87800 37034.3
87900 37080.3
88000 37104.5
88100 37035.3
88200 36835.9
88300 36591.8
88400 36427.1
88500 36263.3
88600 36042
88700 35802
88800 35587.2
88900 35363.8
89000 35063.3
89100 34762.6
89200 34595.5
89300 34524.4
89400 34479.6
89500 34453.8
89600 34516
89700 34760.5
89800 35091.3
89900 35417.8
90000 35795.9
90100 36272.6
90200 36790.7
90300 37212.2
90400 37564
90500 37926.8
90600 38332.7
90700 38763.5
90800 39152.2
90900 39487.7
91000 39898.6
91100 40415.1
91200 40949.7
91300 41455.2
91400 41947.6
91500 42433
91600 42896.5
91700 43298.4
91800 43591.6
91900 43796.7
92000 43966.3
92100 44067.7
92200 43960.4
92300 43648.4
92400 43250.4
92500 42797.5
92600 42258.2
92700 41622.4
92800 40957.5
92900 40404.3
93000 39966.3
93100 39557.2
93200 39214.2
93300 39020.5
93400 38971.3
93500 38932.5
93600 38937.5
93700 39124.5
93800 39504.8
93900 39996.1
94000 40548.9
94100 41269.5
94200 42249.9
94300 43389.3
94400 44577.4
94500 45842.2
94600 47198.7
94700 48529.1
94800 49712.3
94900 50738.7
95000 51712
95100 52533.2
95200 53010.2
95300 53211.4
95400 53279.1
95500 53280.7
95600 53112.3
95700 52690
95800 52246.7
95900 51875.9
96000 51488.2
96100 51056.4
96200 50685.2
96300 50496.1
96400 50360.5
96500 50169.6
96600 50013.7
96700 49962.1
96800 49919
96900 49784.6
97000 49643.1
97100 49564.8
97200 49549.5
97300 49561.8
97400 49564.7
97500 49612.1
97600 49820.9
97700 50136.1
97800 50423.6
97900 50718.1
98000 51098
98100 51566.1
98200 52068.7
98300 52487.4
98400 52824.3
98500 53244.6
98600 53762.1
98700 54271.2
98800 54721.2
98900 55281.4
99000 56005.9
99100 56734.8
99200 57394.3
99300 58029.4
99400 58710.9
99500 59417.1
99600 59992.8
99700 60393.7
99800 60733.1
99900 61040.2
100000 61190.6
100100 61127
100200 61068.4
100300 61118.3
100400 61080.4
100500 60857.7
100600 60530.6
100700 60266.6
100800 59997.2
100900 59545.6
101000 58990.6
101100 58470.1
101200 57998.9
101300 57495.4
101400 56845.2
101500 56077.7
101600 55440.4
101700 55024.9
101800 54758.3
101900 54584.9
102000 54631.4
102100 55041.4
102200 55732
102300 56623.5
102400 57698.2
102500 59016.7
102600 60645.2
102700 62403
102800 64013.5
102900 65461.2
103000 66770.3
103100 67887.8
103200 68756.6
103300 69365.2
103400 69811.4
103500 70185.4
103600 70397.9
103700 70363.8
103800 70255.2
103900 70226.1
104000 70192.1
104100 70047.2
104200 69793.2
104300 69588.2
104400 69535.8
104500 69428.1
104600 69211.1
104700 69030.9
104800 68952.4
104900 68822.5
105000 68537.1
105100 68221.8
105200 67971.7
105300 67781
105400 67576.9
105500 67284.9
105600 67022
105700 66968.7
105800 67062.2
105900 67206.3
106000 67437.8
106100 67803.5
106200 68318.1
106300 68976.3
106400 69792
106500 70862.4
106600 72264.7
106700 73884.6
106800 75596.5
106900 77506.9
107000 79634.2
107100 81769.1
107200 83727.6
107300 85538.5
107400 87258.4
107500 88645.9
107600 89535.2
107700 89922.9
107800 89919.5
107900 89599.7
108000 88813.9
108100 87549.5
108200 86112
108300 84748.4
108400 83452.2
108500 82265.3
108600 81284.3
108700 80522.7
108800 79895.6
108900 79345.5
109000 78967.9
109100 78907.9
109200 78985.9
109300 79051.3
109400 79139.8
109500 79318.4
109600 79583.1
109700 79780.8
109800 79893.5
109900 80121.9
110000 80491.7
110100 80898.5
110200 81321.2
110300 81765.8
110400 82248.2
110500 82763.3
110600 83293.5
110700 83825.6
110800 84383.5
110900 85002.2
111000 85665.2
111100 86260.3
111200 86780.7
111300 87420.9
111400 88186.2
111500 88905.8
111600 89527.2
111700 90115.6
111800 90712.5
111900 91230.1
112000 91424.1
112100 91297
112200 91057.8
112300 90699.3
112400 90134
112500 89367.7
112600 88669.4
112700 88138
112800 87597.1
112900 87029.4
113000 86531.4
113100 86205.5
113200 85995.5
113300 85746
113400 85548.7
113500 85619
113600 85949.7
113700 86459
113800 87123.7
113900 87997.8
114000 89246.2
114100 90880.6
114200 92615.3
114300 94362.5
114400 96190.1
114500 98061.5
114600 99837.1
114700 101418
114800 102906
114900 104538
115000 106026
115100 107080
115200 107715
115300 108106
115400 108237
115500 107846
115600 107101
115700 106194
115800 105145
115900 103924
116000 102569
116100 101376
116200 100525
116300 99834.5
116400 99211.2
116500 98800.3
116600 98712.8
116700 98749
116800 98699.9
116900 98721.9
117000 98949
117100 99292.7
117200 99615.1
117300 99960.5
117400 100565
117500 101325
117600 102000
117700 102613
117800 103348
117900 104178
118000 104762
118100 105048
118200 105311
118300 105711
118400 106192
118500 106548
118600 106817
118700 107292
118800 107883
118900 108433
119000 108916
119100 109500
119200 110402
119300 111436
119400 112339
119500 113210
119600 114248
119700 115380
119800 116261
119900 116866
120000 117498
120100 118036
120200 118231
120300 118102
120400 117876
120500 117487
120600 116672
120700 115515
120800 114261
120900 113014
121000 111628
121100 110125
121200 108821
121300 107880
121400 107205
121500 106677
121600 106336
121700 106417
121800 106949
121900 107628
122000 108439
122100 109549
122200 110998
122300 112548
122400 113951
122500 115413
122600 117044
122700 118763
122800 120459
122900 122152
123000 123985
123100 125811
123200 127247
123300 128292
123400 129098
123500 129701
123600 130037
123700 129947
123800 129375
123900 128593
124000 127737
124100 126632
124200 125177
124300 123486
124400 121689
124500 119784
124600 117616
124700 115424
124800 113637
124900 112362
125000 111501
125100 110998
125200 111049
125300 111770
125400 112880
125500 114219
125600 115817
125700 117718
125800 119801
125900 121740
126000 123481
126100 125238
126200 126985
126300 128527
126400 129798
126500 131073
126600 132443
126700 133619
126800 134508
126900 135287
127000 136061
127100 136766
127200 137331
127300 137739
127400 138096
127500 138547
127600 138910
127700 138940
127800 138776
127900 138633
